timestamp,room,rule_id,device,action,condition
2026-04-01T00:00:00,living_room,LLM-21903490,light,turn_on,motion == 1 AND time_bucket == 'night'
2026-04-01T00:00:00,living_room,LLM-53BAC2F4,light,turn_on,motion == 1 AND time_bucket == 'night'
2026-04-01T00:00:00,bedroom,LLM-33DB76F3,ac,turn_on,occupancy == 1
2026-04-01T00:00:00,bedroom,LLM-9A48B64B,ac,turn_on,occupancy == 1
2026-04-01T00:00:00,bedroom,LLM-F0264DE5,ac,turn_on,occupancy == 1
2026-04-01T00:00:00,garage,LLM-F76A4EBE,alarm,turn_on,occupancy == 1
2026-04-01T00:00:00,garage,LLM-47084D47,alarm,turn_on,occupancy == 1
2026-04-01T00:00:00,garage,LLM-EA89BE61,alarm,turn_on,occupancy == 1
2026-04-01T00:00:00,front_door,LLM-31C6E5AD,door_lock,lock,time_bucket == 'night'
2026-04-01T00:00:00,front_door,LLM-B41227EF,door_lock,lock,time_bucket == 'night'
2026-04-01T00:00:00,front_door,LLM-FB06E090,door_lock,lock,time_bucket == 'night'
2026-04-01T00:00:00,front_door,LLM-EAA16358,door_lock,lock,time_bucket == 'night'
2026-04-01T00:00:00,front_door,LLM-184D3D94,camera,turn_on,occupancy == 1
2026-04-01T00:00:00,front_door,LLM-BA85BB56,door_lock,lock,time_bucket == 'night'
2026-04-01T00:00:00,front_door,LLM-FC3D6F04,door_lock,lock,time_bucket == 'night'
2026-04-01T00:00:00,front_door,LLM-CEFE2D37,door_lock,lock,time_bucket == 'night'
2026-04-01T00:00:00,front_door,LLM-4D665861,door_lock,lock,time_bucket == 'night'
2026-04-01T00:00:00,front_door,LLM-57EB455F,door_lock,lock,time_bucket == 'night'
2026-04-01T00:30:00,living_room,LLM-21903490,light,turn_on,motion == 1 AND time_bucket == 'night'
2026-04-01T00:30:00,living_room,LLM-53BAC2F4,light,turn_on,motion == 1 AND time_bucket == 'night'
2026-04-01T00:30:00,bedroom,LLM-33DB76F3,ac,turn_on,occupancy == 1
2026-04-01T00:30:00,bedroom,LLM-9A48B64B,ac,turn_on,occupancy == 1
