command_id,user_command,rule_id,location,device,action,condition,hallucination_type,confidence,uncertain,reason,resolved,verifier_note,resolver_note,pipeline_trace,prompt_mode
CMD-001,Open AC in bedroom,LLM-E54AC9B7,bedroom,ac,turn_on,occupancy == 1,valid,0.62,False,,resolved,The verifier replaced unsupported fields for action_hallucination with the closest safe supported rule.,,generator -> validator -> verifier -> conflict_checker,one_shot
CMD-002,Turn on toaster in garage,LLM-12ACC941,garage,alarm,turn_on,occupancy == 1,valid,0.62,False,,resolved,The verifier replaced unsupported fields for device_hallucination with the closest safe supported rule.,,generator -> validator -> verifier -> conflict_checker,one_shot
CMD-003,Turn on living room light when motion is detected at night,LLM-428F5F3E,living_room,light,turn_on,motion == 1 AND time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-004,Turn on light in bathroom when motion is detected,LLM-8A9F99A8,living_room,light,turn_on,motion == 1,location_hallucination,0.35,True,Bathroom is not part of the supported dataset The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for location_hallucination with the closest safe supported rule.,Please rephrase the command for the light in living_room using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-005,Turn on garage fan when humidity is high,LLM-0C3C067B,garage,fan,turn_on,humidity >= 70,valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-006,Turn on living room light when motion is detected at night,LLM-429E9145,living_room,light,turn_on,motion == 1 AND time_bucket == 'night',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-007,Turn off living room light in the morning,LLM-13E6C3AC,living_room,light,turn_off,time_bucket == 'morning',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-008,Turn on light in bathroom when motion is detected,LLM-5F73237E,living_room,light,turn_on,motion == 1,location_hallucination,0.35,True,Bathroom is not part of the supported dataset The system could not fully resolve the issue with high confidence.,,The verifier replaced unsupported fields for location_hallucination with the closest safe supported rule.,Please rephrase the command for the light in living_room using a single supported action and a clear condition.,generator -> validator -> verifier -> conflict_checker -> resolver,one_shot
CMD-009,Turn off living room light in the morning,LLM-A6CDAB1B,living_room,light,turn_off,time_bucket == 'morning',valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
CMD-010,Turn on garage fan when humidity is high,LLM-79BBB466,garage,fan,turn_on,humidity >= 70,valid,0.9,False,,,,,generator -> validator -> conflict_checker,one_shot
